"","stateid","year","vio","mur","rob","incarc_rate","pb1064","pw1064","pm1029","pop","avginc","density","shall","State","Code","region","vo"
"1",1,77,414.399993896484,14.1999998092651,96.8000030517578,83,8.38487339019775,55.1229057312012,18.1744117736816,3.78040289878845,9.56314849853516,0.0745524019002914,0,"Alabama","AL","alabama",303.399991035461
"2",1,78,419.100006103516,13.3000001907349,99.0999984741211,94,8.35210132598877,55.1436653137207,17.9940795898438,3.83183789253235,9.93200016021729,0.0755667313933372,0,"Alabama","AL","alabama",306.70000743866
"3",1,79,413.299987792969,13.1999998092651,109.5,144,8.32957458496094,55.135856628418,17.8393363952637,3.86624789237976,9.87702751159668,0.0762453228235245,0,"Alabama","AL","alabama",290.599987983704
"4",1,80,448.5,13.1999998092651,132.100006103516,141,8.40838623046875,54.9125862121582,17.7341976165771,3.90036797523499,9.54142761230469,0.076828807592392,0,"Alabama","AL","alabama",303.199994087219
"5",1,81,470.5,11.8999996185303,126.5,149,8.48343467712402,54.9251251220703,17.6737155914307,3.91853094100952,9.5483512878418,0.0771865770220757,0,"Alabama","AL","alabama",332.10000038147
"6",1,82,447.700012207031,10.6000003814697,112,183,8.51399993896484,54.8962097167969,17.51051902771,3.9252290725708,9.47891902923584,0.077318511903286,0,"Alabama","AL","alabama",325.100011825562
"7",1,83,416,9.19999980926514,98.4000015258789,215,8.5456075668335,54.8393630981445,17.3508930206299,3.93410301208496,9.78299999237061,0.0774933099746704,0,"Alabama","AL","alabama",308.399998664856
"8",1,84,431.200012207031,9.39999961853027,96.0999984741211,243,8.55951118469238,54.7787551879883,17.1190223693848,3.95182609558105,10.3571996688843,0.0778424143791199,0,"Alabama","AL","alabama",325.70001411438
"9",1,85,457.5,9.80000019073486,105.400001525879,256,8.56280136108398,54.6789932250977,16.8587455749512,3.97252011299133,10.7258577346802,0.0782500430941582,0,"Alabama","AL","alabama",342.299998283386
"10",1,86,558,10.1000003814697,111.599998474121,267,8.56652069091797,54.5179061889648,16.5760917663574,3.99156188964844,11.0916175842285,0.0786251276731491,0,"Alabama","AL","alabama",436.300001144409
"11",1,87,559.200012207031,9.30000019073486,112.199996948242,283,8.59210300445557,54.3877029418945,16.2822952270508,4.01525688171387,11.323823928833,0.079091876745224,0,"Alabama","AL","alabama",437.700015068054
"12",1,88,558.599975585938,9.89999961853027,117.800003051758,307,8.61814403533936,54.235050201416,15.9927015304565,4.02384805679321,11.6549644470215,0.0792610943317413,0,"Alabama","AL","alabama",430.899972915649
"13",1,89,590.799987792969,10.1999998092651,133.899993896484,300,8.63803100585938,54.0662231445312,15.6752328872681,4.03022384643555,11.9638967514038,0.0793866887688637,0,"Alabama","AL","alabama",446.699994087219
"14",1,90,708.599975585938,11.6000003814697,143.699996948242,328,8.69967365264893,56.0701599121094,15.3807029724121,4.04850816726685,12.0639839172363,0.0797735601663589,0,"Alabama","AL","alabama",553.299978256226
"15",1,91,844.200012207031,11.5,152.800003051758,370,8.77164077758789,55.9735260009766,15.1831388473511,4.09102487564087,12.0878162384033,0.0806113258004189,0,"Alabama","AL","alabama",679.900009155273
"16",1,92,871.700012207031,11,164.899993896484,394,8.87796878814697,55.8095169067383,15.0255756378174,4.13926887512207,12.3980197906494,0.081561952829361,0,"Alabama","AL","alabama",695.800018310547
"17",1,93,780.400024414062,11.6000003814697,159.5,407,8.97275829315186,55.660758972168,14.8629636764526,4.19311380386353,12.3957996368408,0.0826229304075241,0,"Alabama","AL","alabama",609.300024032593
"18",1,94,683.700012207031,11.8999996185303,171.199996948242,431,9.04758262634277,55.5078315734863,14.6774425506592,4.23296499252319,12.6739196777344,0.0834081768989563,0,"Alabama","AL","alabama",500.600015640259
"19",1,95,632.400024414062,11.1999998092651,185.800003051758,450,9.09492111206055,55.3318748474121,14.5454874038696,4.26273107528687,12.8726816177368,0.0839946940541267,0,"Alabama","AL","alabama",435.40002155304
